jobnum,location,occupation,salary
,北京,测试,12500
,北京,测试,10000
,北京,测试,13750
,北京,测试,15416.67
,北京,测试,2500
,北京,测试,27500
,北京,测试,21666.67
,北京,测试,3333.33
,北京,测试,12500
,北京,测试,11250
,北京,测试,12500
,北京,测试,12916.67
,北京,测试,19166.67
,北京,测试,30000
,北京,测试,12500
,北京,测试,3333.33
,北京,测试,9166.67
,北京,测试,12083.33
,北京,测试,6666.67
,北京,测试,7083.33
,北京,测试,12500
,北京,测试,22500
,北京,测试,12500
,北京,测试,10000
,北京,测试,12500
,北京,测试,17083.33
,北京,测试,7083.33
,北京,测试,15000
,北京,测试,12083.33
,北京,测试,15000
,北京,测试,11666.67
,北京,测试,7500
,北京,测试,43333.33
,北京,测试,12083.33
,北京,测试,9166.67
,北京,测试,10833.33
,北京,测试,7083.33
,北京,测试,10000
,北京,测试,15833.33
,北京,测试,35000
,北京,测试,13750
,北京,测试,9583.33
,北京,测试,10000
,北京,测试,14166.67
,北京,测试,14166.67
,北京,测试,20000
,北京,测试,15000
,北京,测试,9583.33
,北京,测试,20416.67
,北京,测试,22083.33
,北京,测试,14166.67
,北京,测试,18750
,北京,测试,16250
,北京,测试,14583.33
,北京,测试,14583.33
,北京,测试,10000
,北京,测试,7083.33
,北京,测试,7083.33
,北京,测试,45000
,北京,测试,48750
,北京,测试,22500
,北京,测试,26666.67
,北京,测试,22500
,北京,测试,20000
,北京,测试,10833.33
,北京,测试,11666.67
,北京,测试,29166.67
,北京,测试,11666.67
,北京,测试,35000
,北京,测试,18333.33
,北京,测试,20000
,北京,测试,21666.67
,北京,测试,7500
,北京,测试,12500
,北京,测试,14583.33
,北京,测试,11666.67
,北京,测试,13333.33
,北京,测试,33333.33
,北京,测试,17916.67
,北京,测试,10833.33
,北京,测试,11666.67
,北京,测试,12083.33
,北京,测试,15000
,北京,测试,12500
,北京,测试,7083.33
,北京,测试,7500
,北京,测试,25000
,北京,测试,50000
,北京,测试,7500
,北京,测试,17500
,北京,测试,12500
,北京,测试,17500
,北京,测试,7500
,北京,测试,8333.33
,北京,测试,10000
,北京,测试,6666.67
,北京,测试,5416.67
,北京,测试,25000
,北京,测试,3750
,北京,测试,5416.67
,北京,测试,12500
,北京,测试,25000
,北京,测试,12083.33
,北京,测试,19166.67
,北京,测试,12500
,北京,测试,12500
,北京,测试,17500
,北京,测试,19166.67
,北京,测试,20416.67
,北京,测试,10000
,北京,测试,12500
,北京,测试,7083.33
,北京,测试,7083.33
,北京,测试,11666.67
,北京,测试,4583.33
,北京,测试,10416.67
,北京,测试,10416.67
,北京,测试,16250
,北京,测试,12083.33
,北京,测试,17500
,北京,测试,19166.67
,北京,测试,15000
,北京,测试,11666.67
,北京,测试,17500
,北京,测试,32083.33
,北京,测试,10000
,北京,测试,9166.67
,北京,测试,15416.67
,北京,测试,17916.67
,北京,测试,5000
,北京,测试,7500
,北京,测试,35000
,北京,测试,15416.67
,北京,测试,17916.67
,北京,测试,11666.67
,北京,测试,17500
,北京,测试,12500
,北京,测试,20000
,北京,测试,5416.67
,北京,测试,17916.67
,北京,测试,19166.67
,北京,测试,18750
,北京,测试,15833.33
,北京,测试,17916.67
,北京,测试,19166.67
,北京,测试,22500
,北京,测试,10000
,北京,测试,15000
,北京,测试,12500
,北京,测试,5000
,北京,测试,12500
,北京,测试,15000
,北京,测试,15000
,北京,测试,24583.33
,北京,测试,12500
,北京,测试,8750
,北京,测试,17500
,北京,测试,30000
,北京,测试,14166.67
,北京,测试,12500
,北京,测试,7500
,北京,测试,4583.33
,北京,测试,12500
,北京,测试,9166.67
,北京,测试,7500
,北京,测试,17500
,北京,测试,35000
,北京,测试,20416.67
,北京,测试,7916.67
,北京,测试,27500
,北京,测试,17083.33
,北京,测试,11666.67
,北京,测试,13750
,北京,测试,14583.33
,北京,测试,27500
,北京,测试,30000
,北京,测试,19583.33
,北京,测试,28750
,北京,测试,12500
,北京,测试,12500
,北京,测试,32500
,北京,测试,12500
,北京,测试,22500
,北京,测试,15000
,北京,测试,15833.33
,北京,测试,9166.67
,北京,测试,12500
,北京,测试,7916.67
,北京,测试,8750
,北京,测试,10833.33
,北京,测试,12500
,北京,测试,22083.33
,北京,测试,40000
