city,location,price,number
北京,朝阳,4000,75596
北京,顺义,2406,75596
北京,朝阳,3800,75596
北京,顺义,2406,75596
北京,朝阳,5200,75596
北京,朝阳,44728,75596
北京,顺义,2600,75596
北京,朝阳,3500,75596
北京,亦庄开发区,3100,75596
北京,丰台,3700,75596
北京,大兴,2600,75596
北京,朝阳,5960,75596
北京,东城,4800,75596
北京,朝阳,6060,75596
北京,顺义,2900,75596
北京,朝阳,3800,75596
北京,朝阳,3800,75596
北京,西城,5000,75596
北京,通州,2650,75596
北京,丰台,3600,75596
北京,大兴,2800,75596
北京,海淀,6060,75596
北京,丰台,3400,75596
北京,丰台,4030,75596
北京,西城,3800,75596
北京,朝阳,5730,75596
北京,大兴,2800,75596
北京,海淀,5860,75596
北京,朝阳,5190,75596
北京,朝阳,5090,75596
北京,通州,3290,75596
北京,朝阳,5630,75596
北京,海淀,5990,75596
北京,顺义,2700,75596
北京,海淀,6030,75596
北京,顺义,2700,75596
北京,海淀,5860,75596
北京,丰台,3400,75596
北京,朝阳,6490,75596
北京,大兴,2900,75596
北京,丰台,3700,75596
北京,顺义,2700,75596
北京,门头沟,2300,75596
北京,朝阳,5800,75596
北京,朝阳,5560,75596
北京,朝阳,3500,75596
北京,通州,3990,75596
北京,西城,5000,75596
北京,朝阳,4450,75596
北京,顺义,2500,75596
北京,顺义,2400,75596
北京,大兴,3000,75596
北京,海淀,3500,75596
北京,大兴,3000,75596
北京,丰台,4330,75596
北京,朝阳,3600,75596
北京,朝阳,6090,75596
北京,顺义,2500,75596
北京,朝阳,5290,75596
北京,丰台,3500,75596
北京,海淀,6390,75596
北京,东城,6060,75596
北京,朝阳,6390,75596
北京,亦庄开发区,3300,75596
北京,西城,5460,75596
北京,朝阳,4500,75596
北京,丰台,5030,75596
北京,房山,2500,75596
北京,朝阳,5990,75596
北京,朝阳,4200,75596
北京,大兴,2800,75596
北京,朝阳,3500,75596
北京,顺义,2700,75596
北京,朝阳,2800,75596
北京,朝阳,5560,75596
北京,朝阳,4700,75596
北京,朝阳,6090,75596
北京,大兴,2200,75596
北京,顺义,2300,75596
北京,朝阳,4000,75596
北京,房山,2500,75596
北京,大兴,2800,75596
北京,朝阳,4300,75596
北京,朝阳,3850,75596
北京,海淀,5590,75596
北京,顺义,2500,75596
北京,朝阳,6830,75596
北京,朝阳,3600,75596
北京,丰台,4730,75596
北京,石景山,3500,75596
北京,西城,7090,75596
北京,朝阳,5390,75596
北京,海淀,6090,75596
北京,丰台,3200,75596
北京,西城,5690,75596
北京,顺义,2700,75596
北京,朝阳,5230,75596
北京,石景山,3500,75596
北京,朝阳,7330,75596
北京,大兴,2200,75596
北京,朝阳,3850,75596
北京,朝阳,4300,75596
北京,朝阳,2900,75596
北京,大兴,2450,75596
北京,朝阳,6590,75596
北京,房山,2300,75596
北京,朝阳,7090,75596
北京,顺义,2900,75596
北京,朝阳,3000,75596
北京,顺义,2400,75596
北京,丰台,3800,75596
北京,顺义,2800,75596
北京,顺义,3000,75596
北京,朝阳,5000,75596
北京,朝阳,7690,75596
北京,朝阳,4400,75596
北京,朝阳,6890,75596
北京,丰台,2700,75596
北京,朝阳,7090,75596
北京,朝阳,3000,75596
北京,朝阳,6590,75596
北京,朝阳,6990,75596
北京,朝阳,6260,75596
北京,房山,1800,75596
北京,朝阳,6590,75596
北京,昌平,2800,75596
北京,朝阳,6490,75596
北京,朝阳,4200,75596
北京,朝阳,6660,75596
北京,朝阳,4200,75596
北京,顺义,3000,75596
北京,房山,2200,75596
北京,顺义,2500,75596
北京,朝阳,4200,75596
北京,通州,4330,75596
北京,大兴,2950,75596
北京,通州,4190,75596
北京,东城,5100,75596
北京,丰台,3600,75596
北京,朝阳,5100,75596
北京,朝阳,3500,75596
北京,大兴,2900,75596
北京,朝阳,4300,75596
北京,西城,4000,75596
北京,通州,4090,75596
北京,朝阳,4000,75596
北京,通州,4130,75596
北京,东城,4500,75596
北京,海淀,6890,75596
北京,顺义,2400,75596
北京,朝阳,7030,75596
北京,海淀,7090,75596
北京,东城,6390,75596
北京,丰台,3300,75596
北京,朝阳,6890,75596
北京,房山,2900,75596
北京,海淀,6690,75596
北京,海淀,3800,75596
北京,朝阳,6890,75596
北京,顺义,3000,75596
北京,朝阳,4300,75596
北京,大兴,3000,75596
北京,丰台,3500,75596
北京,亦庄开发区,3800,75596
北京,朝阳,7590,75596
北京,西城,4900,75596
北京,大兴,4190,75596
北京,朝阳,4300,75596
北京,大兴,3000,75596
北京,顺义,2800,75596
北京,朝阳,4800,75596
北京,顺义,3000,75596
北京,顺义,2500,75596
北京,朝阳,4500,75596
北京,昌平,4360,75596
北京,顺义,3000,75596
北京,通州,3990,75596
北京,房山,2150,75596
北京,朝阳,7490,75596
北京,朝阳,3900,75596
北京,朝阳,6990,75596
北京,朝阳,6990,75596
北京,海淀,6590,75596
北京,大兴,2700,75595
北京,昌平,4260,75595
北京,顺义,3000,75595
北京,朝阳,6390,75595
北京,顺义,2700,75595
北京,西城,7060,75595
北京,顺义,2900,75595
北京,朝阳,3600,75595
北京,朝阳,3900,75595
北京,顺义,2500,75595
北京,顺义,3000,75595
北京,朝阳,6530,75595
北京,朝阳,3600,75595
北京,大兴,3730,75595
北京,朝阳,3800,75595
北京,顺义,2500,75595
北京,顺义,2500,75595
北京,顺义,2800,75595
北京,顺义,2700,75595
北京,顺义,2500,75595
北京,顺义,2500,75595
北京,西城,7190,75595
北京,朝阳,4200,75595
北京,海淀,6160,75595
北京,顺义,2500,75595
北京,朝阳,8130,75595
北京,房山,2200,75595
北京,朝阳,6990,75595
北京,朝阳,7090,75595
北京,通州,4090,75595
北京,朝阳,4800,75596
北京,朝阳,6590,75596
北京,丰台,3200,75596
北京,朝阳,7790,75596
北京,朝阳,4300,75596
北京,朝阳,6390,75596
北京,丰台,5000,75596
北京,西城,3500,75596
北京,丰台,3600,75596
北京,朝阳,4500,75596
北京,丰台,4000,75596
北京,朝阳,6860,75596
北京,西城,3300,75596
北京,朝阳,6390,75596
北京,西城,3200,75596
北京,昌平,2500,75596
北京,东城,4600,75596
北京,朝阳,4300,75596
北京,海淀,4800,75596
北京,朝阳,4000,75596
北京,丰台,3900,75596
北京,通州,4990,75596
北京,朝阳,4500,75596
北京,通州,3890,75596
北京,石景山,2400,75596
北京,朝阳,7960,75596
北京,顺义,2700,75596
北京,朝阳,6290,75596
北京,朝阳,6090,75596
北京,海淀,6090,75596
北京,丰台,3900,75595
北京,海淀,7390,75595
北京,顺义,2700,75595
北京,大兴,3890,75595
北京,朝阳,4300,75595
北京,大兴,4030,75595
北京,朝阳,3450,75595
北京,顺义,2700,75595
北京,丰台,3200,75595
北京,石景山,3300,75595
北京,西城,4700,75595
北京,海淀,6690,75595
北京,朝阳,4800,75595
北京,丰台,5130,75595
北京,东城,4200,75595
北京,丰台,4000,75595
北京,朝阳,3900,75595
北京,丰台,3900,75595
北京,朝阳,4500,75595
北京,石景山,2400,75595
北京,石景山,3500,75595
北京,西城,7090,75595
北京,海淀,4800,75595
北京,西城,7190,75595
北京,大兴,2650,75595
北京,海淀,6660,75595
北京,朝阳,4300,75595
北京,海淀,6190,75595
北京,顺义,3760,75595
北京,朝阳,7190,75595
北京,朝阳,3500,75595
北京,海淀,7190,75595
北京,朝阳,4100,75595
北京,丰台,5130,75595
北京,海淀,4800,75595
北京,朝阳,7930,75595
北京,朝阳,3500,75595
北京,海淀,4500,75595
北京,大兴,3000,75595
北京,西城,4800,75595
北京,西城,4600,75595
北京,朝阳,6530,75595
北京,西城,4600,75595
北京,海淀,7690,75595
北京,房山,2000,75595
北京,海淀,4800,75595
北京,大兴,2650,75595
北京,朝阳,3900,75595
北京,朝阳,4300,75595
北京,房山,2000,75595
北京,丰台,2500,75595
北京,朝阳,6890,75595
北京,海淀,5600,75595
北京,朝阳,6290,75595
北京,丰台,3300,75595
北京,丰台,5130,75595
北京,东城,4900,75595
北京,朝阳,6630,75595
北京,朝阳,6330,75595
北京,西城,6560,75595
北京,朝阳,4000,75595
北京,朝阳,6490,75595
北京,丰台,2800,75595
北京,海淀,6630,75595
北京,西城,4500,75595
北京,昌平,1860,75595
北京,朝阳,4500,75595
北京,朝阳,4000,75595
北京,朝阳,4000,75595
北京,亦庄开发区,3600,75595
北京,昌平,2700,75595
北京,西城,7190,75595
