city,area,htype,price
合肥,新站,new,14700
合肥,新站,new,12900
合肥,新站,new,5600
合肥,新站,new,7600
合肥,新站,new,14700
合肥,新站,new,13200
合肥,新站,new,13800
合肥,新站,new,14000
合肥,新站,new,14000
合肥,新站,new,14500
合肥,新站,new,13800
合肥,新站,new,13500
合肥,新站,new,13800
合肥,新站,new,14000
合肥,新站,new,14000
合肥,新站,new,12500
合肥,新站,new,13200
合肥,新站,new,14800
合肥,新站,new,13700
合肥,新站,new,18000
合肥,新站,new,14200
合肥,新站,new,14500
合肥,新站,new,15000
合肥,新站,new,7500
合肥,新站,new,6000
合肥,新站,new,8000
合肥,新站,new,13800
合肥,新站,new,7400
合肥,新站,new,6400
合肥,新站,new,7000
合肥,新站,new,6600
合肥,新站,new,18000
合肥,新站,new,22000
合肥,新站,new,20000
合肥,新站,new,14800
合肥,新站,new,13500
合肥,新站,new,14000
合肥,新站,new,10300
合肥,新站,new,11818
合肥,新站,new,18000
合肥,新站,new,13500
合肥,新站,new,9600
合肥,新站,new,9800
合肥,新站,new,10079
合肥,新站,new,16000
合肥,新站,new,11997
合肥,新站,new,13500
合肥,新站,new,14500
合肥,高新,new,5600
合肥,高新,new,7600
合肥,高新,new,20000
合肥,高新,new,16800
合肥,高新,new,18000
合肥,高新,new,25000
合肥,高新,new,10000
合肥,高新,new,9000
合肥,高新,new,11000
合肥,高新,new,18500
合肥,高新,new,19500
合肥,高新,new,13000
合肥,高新,new,20000
合肥,高新,new,18200
合肥,高新,new,18500
合肥,高新,new,21000
合肥,高新,new,21532
合肥,高新,new,22000
合肥,高新,new,16000
合肥,高新,new,7400
合肥,高新,new,6400
合肥,高新,new,7000
合肥,高新,new,6600
合肥,高新,new,11000
合肥,高新,new,30000
合肥,高新,new,25000
合肥,高新,new,20000
合肥,高新,new,15700
合肥,高新,new,13000
合肥,高新,new,16800
合肥,高新,new,24300
合肥,高新,new,23000
合肥,高新,new,14000
合肥,高新,new,25000
合肥,高新,new,11000
合肥,高新,new,15300
合肥,高新,new,8000
合肥,高新,new,10300
合肥,高新,new,10500
合肥,高新,new,8000
合肥,高新,new,12000
合肥,高新,new,10000
合肥,高新,new,30000
合肥,政务,new,5600
合肥,政务,new,7600
合肥,政务,new,25628
合肥,政务,new,33000
合肥,政务,new,13000
合肥,政务,new,14000
合肥,政务,new,25800
合肥,政务,new,27000
合肥,政务,new,23000
合肥,政务,new,20000
合肥,政务,new,30000
合肥,政务,new,20000
合肥,政务,new,14000
合肥,政务,new,7400
合肥,政务,new,6400
合肥,政务,new,7000
合肥,政务,new,6600
合肥,政务,new,40000
合肥,政务,new,19000
合肥,政务,new,19000
合肥,政务,new,60000
合肥,政务,new,20000
合肥,政务,new,15000
合肥,政务,new,20000
合肥,政务,new,35000
合肥,政务,new,35000
合肥,蜀�?new,19800,71
合肥,蜀�?new,5600,71
合肥,蜀�?new,7600,71
